日期时间 收盘 开盘 最高 最低 成交 持仓
2011-04-15 2249.72 2299.97 2299.97 2228.82 58080 6694
2011-04-18 2382.46 2235.27 2388.12 2235.27 133636 19940
2011-04-19 2337.42 2376.66 2384.51 2321.52 205268 23738
2011-04-20 2344.38 2351.37 2394.10 2330.49 176032 23970
2011-04-21 2337.40 2354.46 2364.46 2324.43 97806 22728
2011-04-22 2331.60 2337.32 2351.32 2298.36 128548 19446
2011-04-25 2330.71 2341.83 2359.13 2318.66 65102 18596
2011-04-26 2323.51 2316.60 2330.36 2304.68 44636 18420
2011-04-27 2321.79 2333.58 2340.19 2316.78 32090 16914
2011-04-28 2338.78 2331.68 2348.51 2327.66 26344 14746
2011-04-29 2331.28 2339.00 2344.62 2325.13 17764 12312
2011-05-03 2346.05 2332.13 2355.33 2328.14 26696 13430
2011-05-04 2331.19 2342.97 2347.98 2322.48 14634 11348
2011-05-05 2310.61 2311.14 2321.05 2295.90 14072 11296
2011-05-06 2273.61 2257.38 2290.85 2257.38 14920 10726
2011-05-09 2282.45 2282.35 2286.30 2275.34 7270 9796
2011-05-10 2289.06 2287.37 2290.26 2277.56 7988 8766
2011-05-11 2315.87 2295.39 2339.26 2288.29 30238 9928
2011-05-12 2344.77 2291.80 2352.67 2290.39 62144 18268
2011-05-13 2419.45 2360.93 2443.36 2353.84 135262 27080
2011-05-16 2407.86 2415.54 2423.51 2396.71 57382 26530
2011-05-17 2391.95 2414.79 2416.75 2372.09 57900 22530
2011-05-18 2373.08 2400.93 2423.68 2371.15 70694 22634
2011-05-19 2368.52 2394.81 2394.81 2364.11 47798 19122
2011-05-20 2377.00 2365.18 2392.53 2363.16 37118 19014
2011-05-23 2358.46 2389.13 2389.13 2352.80 19074 18518
2011-05-24 2381.07 2357.38 2381.07 2346.36 30624 21746
2011-05-25 2376.11 2383.24 2385.25 2367.32 18240 19572
2011-05-26 2379.30 2386.21 2398.47 2378.20 19624 20152
2011-05-27 2372.11 2380.05 2381.05 2352.38 21780 19314
2011-05-30 2366.26 2371.44 2383.24 2361.50 16498 18550
2011-05-31 2365.65 2371.21 2379.19 2362.20 15260 16634
2011-06-01 2360.46 2371.36 2376.12 2358.49 13748 16446
2011-06-02 2340.94 2352.32 2364.13 2338.55 18830 16112
2011-06-03 2327.92 2341.60 2345.58 2322.23 17242 16158
2011-06-07 2332.76 2322.78 2342.40 2312.43 15690 15502
2011-06-08 2327.43 2339.56 2339.56 2321.43 8244 14852
2011-06-09 2319.58 2331.40 2334.32 2319.58 8168 14924
2011-06-10 2312.56 2325.35 2325.35 2307.93 13080 16598
2011-06-13 2320.86 2307.52 2321.95 2297.69 9462 18142
2011-06-14 2334.93 2314.23 2353.67 2314.02 42480 16068
2011-06-15 2324.26 2340.29 2343.63 2322.33 9826 15552
2011-06-16 2308.32 2316.38 2322.23 2301.52 9586 15014
2011-06-17 2308.29 2311.48 2321.25 2305.26 6542 15006
2011-06-20 2282.79 2307.49 2311.49 2281.84 8558 15530
2011-06-21 2296.78 2289.67 2301.55 2271.95 10418 15464
2011-06-22 2289.79 2291.89 2297.83 2285.05 6224 14862
2011-06-23 2319.31 2288.67 2323.14 2281.69 23352 16368
2011-06-24 2303.55 2319.29 2324.29 2302.47 13418 14860
2011-06-27 2309.31 2297.43 2319.02 2292.43 12506 14842
2011-06-28 2304.27 2317.38 2339.13 2303.28 18848 15668
2011-06-29 2297.44 2311.29 2314.25 2289.33 10994 15488
2011-06-30 2310.42 2300.50 2313.33 2297.49 11120 14940
2011-07-01 2297.52 2309.39 2318.28 2296.55 7444 14924
2011-07-04 2317.30 2300.37 2326.16 2294.37 15674 15724
2011-07-05 2316.20 2318.23 2323.07 2307.30 9460 16292
2011-07-06 2343.89 2322.17 2345.84 2317.21 22880 19394
2011-07-07 2316.41 2341.74 2350.80 2312.30 20036 16348
2011-07-08 2315.52 2320.48 2328.04 2310.45 12924 15932
2011-07-11 2306.63 2311.11 2324.69 2305.02 7732 14582
2011-07-12 2299.74 2308.93 2317.57 2293.11 7646 14138
2011-07-13 2312.82 2306.75 2315.84 2303.75 5892 13268
2011-07-14 2307.70 2318.57 2318.57 2299.72 6774 13102
2011-07-15 2305.83 2305.58 2311.66 2300.90 3420 12386
2011-07-18 2307.88 2309.89 2316.70 2305.60 6056 12434
2011-07-19 2307.73 2308.83 2312.56 2304.80 2942 11726
2011-07-20 2301.26 2311.03 2316.68 2295.19 7082 12634
2011-07-21 2289.62 2301.05 2303.07 2286.40 6326 12910
2011-07-22 2289.91 2282.68 2296.38 2279.92 3120 12450
2011-07-25 2290.00 2288.76 2301.59 2286.16 4640 11838
2011-07-26 2293.92 2293.99 2296.98 2284.14 2504 11156
2011-07-27 2289.01 2297.91 2297.91 2287.94 2424 10848
2011-07-28 2290.24 2287.89 2298.67 2284.90 4236 9930
2011-07-29 2290.08 2293.15 2295.77 2289.29 2386 9518
