日期时间 收盘 开盘 最高 最低 成交 持仓
2009-03-27 3562.20 3566.00 3660.64 3514.46 360228 46944
2009-03-30 3545.68 3551.05 3580.93 3529.84 145888 49728
2009-03-31 3550.54 3539.30 3567.24 3532.66 71002 45918
2009-04-01 3548.96 3561.63 3562.31 3545.03 28388 43236
2009-04-02 3475.04 3546.96 3550.07 3457.90 236480 70388
2009-04-03 3450.24 3482.87 3482.88 3439.28 153874 77068
2009-04-07 3492.90 3426.81 3519.42 3426.81 243464 102722
2009-04-08 3465.14 3481.83 3492.63 3457.98 147714 94146
2009-04-09 3469.94 3478.15 3488.15 3462.07 88100 97168
2009-04-10 3486.25 3484.86 3501.56 3471.84 121774 102686
2009-04-13 3471.44 3487.09 3495.08 3466.64 110892 112270
2009-04-14 3561.63 3477.25 3600.86 3471.16 541858 153526
2009-04-15 3564.30 3571.47 3591.52 3552.02 256590 154898
2009-04-16 3598.20 3584.09 3629.42 3573.26 251234 172990
2009-04-17 3622.41 3596.17 3650.09 3583.61 340950 223986
2009-04-20 3625.15 3622.10 3649.89 3617.12 260904 242662
2009-04-21 3526.21 3582.10 3592.13 3491.91 333156 244330
2009-04-22 3528.21 3552.14 3568.20 3510.43 169038 237870
2009-04-23 3515.43 3531.34 3533.35 3490.59 131110 238052
2009-04-24 3503.40 3515.22 3524.29 3499.48 102004 251366
2009-04-27 3501.36 3512.29 3522.23 3494.05 102958 259882
2009-04-28 3509.04 3498.16 3517.33 3498.16 97352 268106
2009-04-29 3521.96 3509.08 3521.97 3505.06 102924 280628
2009-04-30 3554.47 3538.02 3575.25 3525.08 249142 304374
2009-05-04 3637.38 3574.60 3661.05 3574.59 575670 333112
2009-05-05 3578.94 3637.34 3645.28 3573.12 176798 317136
2009-05-06 3595.98 3579.90 3599.66 3575.03 104310 320716
2009-05-07 3594.89 3629.55 3631.54 3592.94 151292 326604
2009-05-08 3615.60 3600.77 3617.52 3591.89 104146 330660
2009-05-11 3640.19 3616.65 3679.28 3607.71 337180 346724
2009-05-12 3646.25 3646.12 3661.07 3631.43 194050 347022
2009-05-13 3640.38 3656.20 3658.21 3635.39 119000 348088
2009-05-14 3595.73 3617.71 3621.79 3591.58 140800 343940
2009-05-15 3605.58 3601.66 3619.43 3597.64 132894 345766
2009-05-18 3609.47 3596.54 3613.37 3582.58 105328 344404
